task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
414	65/0af2bb	2068108	format_snvs (12)	COMPLETED	0	2025-12-25 13:24:58.383	7.7s	0ms	34.2%	1.5 MB	7.4 MB	254.8 KB	123.6 KB
423	09/1df237	2071152	get_core_var (NA18861.wgs)	COMPLETED	0	2025-12-25 13:25:02.985	5.2s	0ms	32.4%	1.5 MB	7.4 MB	152.5 KB	66.3 KB
418	4c/7a960f	2070268	get_core_var (NA18564.wgs)	COMPLETED	0	2025-12-25 13:25:02.443	5.9s	0ms	40.9%	1.5 MB	7.4 MB	153.2 KB	66.7 KB
420	7e/8435af	2070270	analyse_2 (NA19003.wgs)	COMPLETED	0	2025-12-25 13:25:02.447	5.9s	0ms	37.1%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
417	7a/ca3faf	2070267	save_vcfs (NA18564.wgs)	COMPLETED	0	2025-12-25 13:25:02.439	7.1s	0ms	121.5%	0	0	48.2 KB	10.4 KB
419	a2/e4bdf3	2071116	analyse_3 (NA19003.wgs)	COMPLETED	0	2025-12-25 13:25:02.657	6.9s	0ms	48.5%	1.5 MB	7.4 MB	68.3 KB	2.1 KB
104	01/a44787	2071147	call_snvs2 (16)	COMPLETED	0	2025-12-25 13:25:02.981	6.6s	1s	494.2%	1.2 MB	8 MB	3.8 MB	297.7 KB
426	a4/323a3a	2071162	analyse_3 (NA18617.wgs)	COMPLETED	0	2025-12-25 13:25:02.988	6.6s	0ms	56.4%	1.5 MB	7.4 MB	68.2 KB	2.1 KB
244	cd/41d2a7	2071552	get_depth (50)	COMPLETED	0	2025-12-25 13:25:03.086	6.5s	0ms	99.6%	1.5 MB	7.1 MB	8.6 MB	1.6 KB
427	06/101fff	2071580	analyse_1 (NA11839.wgs)	COMPLETED	0	2025-12-25 13:25:03.090	6.5s	0ms	32.2%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
235	9e/ebccf6	2072952	get_depth (49)	COMPLETED	0	2025-12-25 13:25:03.942	7s	0ms	95.5%	1.5 MB	7.1 MB	9.9 MB	1.6 KB
1	cc/c8eb1d	2071133	call_snvs2 (1)	COMPLETED	0	2025-12-25 13:25:02.973	8.1s	0ms	482.8%	1 MB	7.9 MB	3.4 MB	278.7 KB
336	fc/16e1a3	2071537	call_sv_del (63)	COMPLETED	0	2025-12-25 13:25:03.082	8s	2s	99.4%	32.8 MB	44.9 MB	4.9 MB	14.4 KB
424	30/cd2f62	2072838	phase_snvs (NA18617.wgs)	FAILED	127	2025-12-25 13:25:03.854	7.2s	7.2s	-	-	-	-	-
428	b3/adc376	2072907	analyse_1 (NA19109.wgs)	COMPLETED	0	2025-12-25 13:25:03.921	7.2s	0ms	47.5%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
329	a6/78bc27	2072906	call_sv_del (57)	COMPLETED	0	2025-12-25 13:25:03.917	12.1s	2s	98.1%	32.7 MB	44.5 MB	4.7 MB	14.5 KB
208	cd/4427fc	2072837	call_sv_dup (46)	COMPLETED	0	2025-12-25 13:25:03.847	13.3s	2s	99.2%	32.2 MB	44.3 MB	4.7 MB	15.8 KB
127	ac/3b2fa7	2076383	call_sv_dup (29)	COMPLETED	0	2025-12-25 13:25:04.912	12.3s	2s	98.7%	33 MB	45.2 MB	4.4 MB	15.7 KB
207	b1/1764e9	2076482	call_snvs1 (35)	COMPLETED	0	2025-12-25 13:25:04.977	12.2s	1s	452.4%	1.2 MB	8 MB	4 MB	341.8 KB
429	3b/061e13	2077038	format_snvs (13)	COMPLETED	0	2025-12-25 13:25:05.966	11.2s	0ms	41.9%	1.5 MB	7.4 MB	235.2 KB	113.5 KB
430	38/d07552	2078492	save_vcfs (NA19095.wgs)	COMPLETED	0	2025-12-25 13:25:07.055	10.1s	0ms	101.9%	0	0	48.9 KB	11.8 KB
344	f7/9c171a	2077037	call_snvs1 (64)	COMPLETED	0	2025-12-25 13:25:05.959	11.3s	1s	449.2%	1.2 MB	8 MB	3.6 MB	235.2 KB
431	bf/b0cb09	2079238	get_core_var (NA19095.wgs)	COMPLETED	0	2025-12-25 13:25:08.242	9s	0ms	40.5%	2.2 MB	8 MB	157.9 KB	69.6 KB
432	81/8461a0	2079251	analyse_2 (NA18861.wgs)	COMPLETED	0	2025-12-25 13:25:08.249	9s	0ms	59.3%	1.5 MB	7.4 MB	56.2 KB	1.4 KB
434	58/fa548c	2079261	phase_snvs (NA18861.wgs)	FAILED	127	2025-12-25 13:25:08.255	9s	8.9s	-	-	-	-	-
436	77/d39095	2081031	analyse_3 (NA18564.wgs)	COMPLETED	0	2025-12-25 13:25:09.566	7.8s	0ms	46.2%	1.5 MB	7.4 MB	68.3 KB	2.1 KB
193	fd/fe3481	2081032	get_depth (40)	COMPLETED	0	2025-12-25 13:25:09.569	7.8s	0ms	91.8%	1.5 MB	7.1 MB	7.3 MB	1.6 KB
435	5a/0a1019	2080963	analyse_2 (NA18564.wgs)	COMPLETED	0	2025-12-25 13:25:09.341	8.1s	0ms	40.8%	1.5 MB	7.4 MB	56.4 KB	1.5 KB
433	72/5f95e1	2081030	analyse_3 (NA18861.wgs)	COMPLETED	0	2025-12-25 13:25:09.562	7.9s	0ms	29.4%	1.5 MB	7.4 MB	67.5 KB	2.1 KB
437	8e/a51fcd	2081565	phase_snvs (NA18564.wgs)	FAILED	127	2025-12-25 13:25:11.075	6.9s	6.8s	-	-	-	-	-
306	3d/927ce9	2081033	call_snvs2 (69)	COMPLETED	0	2025-12-25 13:25:09.573	8.8s	1s	358.5%	1.1 MB	7.9 MB	4.1 MB	347.5 KB
438	e0/58bed1	2081567	analyse_1 (NA10854.wgs)	COMPLETED	0	2025-12-25 13:25:11.078	7.6s	0ms	47.8%	1.5 MB	7.4 MB	48.2 KB	1.4 KB
441	e3/296c34	2083544	save_vcfs (NA12813.wgs)	COMPLETED	0	2025-12-25 13:25:17.203	2.2s	0ms	137.1%	0	0	48.5 KB	10.9 KB
440	e2/a3e514	2083580	get_core_var (NA12813.wgs)	COMPLETED	0	2025-12-25 13:25:17.208	2.2s	0ms	47.6%	1.7 MB	7.4 MB	159 KB	71.4 KB
439	a7/0c455f	2081914	analyse_1 (HG01190.wgs)	COMPLETED	0	2025-12-25 13:25:15.992	3.6s	0ms	48.4%	1.5 MB	7.4 MB	48.3 KB	1.5 KB
158	99/8dcec0	2081560	call_snvs2 (40)	COMPLETED	0	2025-12-25 13:25:11.069	9.9s	1s	390.9%	1 MB	7.9 MB	3.3 MB	259.7 KB
